checksum_sha256,effective_from,effective_to,format,id,notes,parser_status,retrieved_at,source_id,source_url,version_label
,,,jsonl fixture,au_mbs_seed_fixture,Prototype parser fixture is synthetic and exists only to test parser output contracts before live MBS XML ingestion.,prototype,,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/downloads,synthetic seed fixture for MBS parser contract
5591fed257e4d2307c1d2dc9c66abc8e346b1f4c076e9e48559799e2de14b70a,2026-07-01,,ZIP/TXT/XLSX,us_cms_hcpcs_level_ii_2026_07,Official July 2026 alpha-numeric HCPCS archive. Derived adapter excludes numeric CPT Level I and D-series dental descriptors; raw ZIP remains ignored.,validated,2026-07-23T00:00:00Z,us_cms_hcpcs_level_ii,https://www.cms.gov/files/zip/july-2026-alpha-numeric-hcpcs-file.zip,CMS HCPCS Level II July 2026
,,,jsonl fixture,us_cms_clfs_seed_fixture,Prototype parser fixture is synthetic and avoids proprietary CPT descriptor redistribution.,prototype,,us_cms_clfs,https://www.cms.gov/medicare/payment/fee-schedules/clinical-laboratory-fee-schedule-clfs,synthetic seed fixture for CMS CLFS parser contract
,,,jsonl fixture,uk_genomic_directory_seed_fixture,Prototype parser fixture is synthetic and intended for coverage/test-directory schema work.,prototype,,uk_genomic_test_directory,https://www.england.nhs.uk/publication/national-genomic-test-directories/,synthetic seed fixture for NHS genomic test directory parser contract
,,,HTML index,au_mbs_2010_2019_downloads_page,Archive index for MBS files from 2011 to 2019; use the page to enumerate historical releases before any local mirroring.,planned,,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/MBSOnline-2010,MBS 2010 to 2019 archive downloads page
,,,HTML index,au_mbs_1989_2010_previous_downloads_page,Archive index for MBS files from 1989 to 2010; use the page to enumerate older historical releases before any local mirroring.,planned,,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/Prev-Downloads,MBS 1989 to 2010 previous downloads page
,,,csv fixture,au_pbs_seed_fixture,Prototype parser fixture is synthetic and tests PBS item overview-like fields; published prices are not interpreted as confidential net prices.,prototype,,au_pbs,https://data.pbs.gov.au/document/91327.html,synthetic seed fixture for PBS API/CSV parser contract
,,,csv fixture,us_cms_pfs_seed_fixture,Prototype parser fixture is synthetic and avoids proprietary CPT long descriptor redistribution.,prototype,,us_cms_pfs,https://www.cms.gov/medicare/physician-fee-schedule,synthetic seed fixture for CMS PFS parser contract
,,,csv fixture,us_cms_asp_seed_fixture,Prototype parser fixture is synthetic and validates public Part B drug payment-limit fields.,prototype,,us_cms_asp,https://www.cms.gov/medicare/payment/fee-for-service-providers/part-b-drugs/average-drug-sales-price,synthetic seed fixture for CMS ASP drug-pricing parser contract
,2026-07-01,,TXT pair,au_mbs_20260701_txt_pair,Current MBS historical item-map and descriptor files listed on the MBS downloads page; raw TXT files remain local until redistribution review.,prototype,,au_mbs,https://www.mbsonline.gov.au/internet/mbsonline/publishing.nsf/Content/downloads,MBS 20260701 item-map and descriptor TXT pair
